Region,Facility,Category,Quantity,Unit,Start Date,End Date,Transport,Emission Factor ID,emission_co2e
Europe,Facility 1,Business Travel,603,p.km,2023-01-01,2023-12-31,Air,262740,183.915
Europe,Facility 1,Business Travel,338,p.km,2023-01-01,2023-12-31,Air,5418889,50.361999999999995
Europe,Facility 1,Business Travel,568,p.km,2023-01-01,2023-12-31,Air,5424149,3.3625599999999998
Europe,Facility 1,Business Travel,841,p.km,2023-01-01,2023-12-31,Air,262740,256.505
Europe,Facility 1,Business Travel,526,p.km,2023-01-01,2023-12-31,Air,5418889,78.374
Europe,Facility 1,Business Travel,565,p.km,2023-01-01,2023-12-31,Air,5424149,3.3447999999999998
Europe,Facility 2,Business Travel,356,p.km,2023-01-01,2023-12-31,Air,262740,108.58
Europe,Facility 2,Business Travel,667,p.km,2023-01-01,2023-12-31,Air,5418889,99.383
Europe,Facility 2,Business Travel,316,p.km,2023-01-01,2023-12-31,Air,5424149,1.87072
Europe,Facility 2,Business Travel,889,p.km,2023-01-01,2023-12-31,Air,262740,271.145
Europe,Facility 2,Business Travel,739,p.km,2023-01-01,2023-12-31,Air,5418889,110.11099999999999
Europe,Facility 2,Business Travel,530,p.km,2023-01-01,2023-12-31,Air,5424149,3.1376
United States,Facility 6,Business Travel,790,p.km,2023-01-01,2023-12-31,Air,262740,240.95
United States,Facility 6,Business Travel,561,p.km,2023-01-01,2023-12-31,Air,5418889,83.589
United States,Facility 6,Business Travel,306,p.km,2023-01-01,2023-12-31,Air,5424149,1.81152
United States,Facility 6,Business Travel,221,p.km,2023-01-01,2023-12-31,Air,262740,67.405
United States,Facility 6,Business Travel,711,p.km,2023-01-01,2023-12-31,Air,5418889,105.939
United States,Facility 6,Business Travel,389,p.km,2023-01-01,2023-12-31,Air,5424149,2.30288
United States,Facility 7,Business Travel,795,p.km,2023-01-01,2023-12-31,Air,262740,242.475
United States,Facility 7,Business Travel,245,p.km,2023-01-01,2023-12-31,Air,5418889,36.504999999999995
United States,Facility 7,Business Travel,670,p.km,2023-01-01,2023-12-31,Air,5424149,3.9664
United States,Facility 7,Business Travel,387,p.km,2023-01-01,2023-12-31,Air,262740,118.035
United States,Facility 7,Business Travel,498,p.km,2023-01-01,2023-12-31,Air,5418889,74.202
United States,Facility 7,Business Travel,514,p.km,2023-01-01,2023-12-31,Air,5424149,3.04288
United States,Facility 8,Business Travel,117,p.km,2023-01-01,2023-12-31,Air,262740,35.685
United States,Facility 8,Business Travel,395,p.km,2023-01-01,2023-12-31,Air,5418889,58.855
United States,Facility 8,Business Travel,735,p.km,2023-01-01,2023-12-31,Air,5424149,4.3511999999999995
United States,Facility 8,Business Travel,315,p.km,2023-01-01,2023-12-31,Air,262740,96.075
United States,Facility 8,Business Travel,614,p.km,2023-01-01,2023-12-31,Air,5418889,91.48599999999999
United States,Facility 8,Business Travel,782,p.km,2023-01-01,2023-12-31,Air,5424149,4.62944
