Quantity in kg,Unit,Start date,End date,Material,Facility,Origin,Supplier,Emission Factor ID,Emission Factor Name,Emission Factor Value,Emission Factor Unit,emission_co2e
5.635,kg,2020-01-01,2020-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,9579.5
4.5294,kg,2020-01-01,2020-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,7699.98
16909.0,kg,2020-01-01,2020-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,28745300.0
14988.05,kg,2020-01-01,2020-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,25479685.0
21953.75,kg,2020-01-01,2020-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,37321375.0
16385.67,kg,2020-01-01,2020-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,27855638.999999996
2.9139264,kg,2021-01-01,2021-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,4953.67488
5.8830336,kg,2021-01-01,2021-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,10001.15712
6.315084,kg,2021-01-01,2021-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,10735.6428
7.2077688,kg,2021-01-01,2021-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,12253.20696
1.99998,kg,2021-01-01,2021-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,3399.9660000000003
3.6671268,kg,2022-01-01,2022-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,6234.11556
3.6145508,kg,2022-01-01,2022-12-31,Aluminium,Facility 4,Southern Africa,AECI,259795,"Metals (aluminum, copper, steel, etc.)",1700.0,kg,6144.73636
5.221258,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,3.4256725950580003
4.321359,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.8352479612590002
3.416728,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.241718657528
3.242218,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.127222472018
2.331945,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,1.5299914464450002
3.973984,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.6073348763840003
3.067533,kg,2020-01-01,2020-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.012611468833
2.9535768,kg,2021-01-01,2021-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,1.9378446920568002
6.1822332,kg,2021-01-01,2021-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,4.0561693847532005
1.840644,kg,2021-01-01,2021-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,1.207648369044
6.058584,kg,2021-01-01,2021-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,3.975043020984
7.254324,kg,2021-01-01,2021-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,4.759569230724001
2.2785408,kg,2021-01-01,2021-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,1.4949528974208002
3.69,kg,2022-01-01,2022-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.42101269
3.6474588,kg,2022-01-01,2022-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.3931013661388003
3.6046472,kg,2022-01-01,2022-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.3650126325672
3.4526772,kg,2022-01-01,2022-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.2653049635972002
3.4086488,kg,2022-01-01,2022-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.2364178863288
3.3558,kg,2022-01-01,2022-12-31,Chemicals,Facility 4,Southern Europe,Air Liquide,6281843,"Washing agent, multi purpose | Rec/S",0.656101,kg,2.2017437358
14.747824,kg,2020-01-01,2020-12-31,Glass,Facility 4,South Asia,AGC,6281066,Glass bottles,1.07412,kg,15.84093271488
17.54676,kg,2020-01-01,2020-12-31,Glass,Facility 4,Eastern Europe,AGC,6281066,Glass bottles,1.07412,kg,18.847325851199997
